latitude,longitude,date,customer_id,employee_id,quantity_products,order_id
6.2991111912979045,-75.69787598424539,2024-03-10 18:50:40,7459,5668,65,7473048678
6.235147061279748,-75.63743613971761,2023-09-07 22:22:26,2161,6659,11,9477657628
6.2345115706734475,-75.61972282462229,2023-11-23 17:41:43,8625,6659,48,5448918321
6.264561990306937,-75.67568129476734,2024-05-11 12:08:45,3251,1679,22,7240933852
6.282297534694927,-75.61709657201628,2023-05-12 23:14:29,2772,1482,49,952390353
6.243436116849173,-75.50365980820521,2023-01-24 05:41:15,9678,2470,70,2764129860
6.200801781131141,-75.53413054911404,2024-02-27 03:27:07,1890,3455,2,8173496424
6.362403891196005,-75.66880989285549,2023-03-02 01:01:32,9149,9435,77,4737630053
6.360844975733099,-75.70378155017862,2024-03-15 01:52:21,4353,2232,69,8135483112
6.284303844777971,-75.61072226046672,2023-04-29 16:39:07,9604,3830,45,9510600516
6.321905214870929,-75.67484389668648,2024-03-21 14:36:02,4922,4750,14,2209773841
6.239460800363134,-75.68028162044054,2024-03-08 20:08:48,1756,9435,77,7064915995
6.333481234092,-75.69742065906134,2023-01-02 18:27:33,8740,2232,43,9626066800
6.258023568909924,-75.52501290314684,2024-03-25 05:02:20,9258,9438,78,3345283106
6.238000308888206,-75.490902405476,2024-04-15 01:02:27,6569,6337,83,1656866282
6.347711666248107,-75.69927756156976,2024-04-08 20:06:24,2679,1561,64,1626300385
6.257454541731783,-75.56742015977034,2024-01-23 07:44:31,6407,4750,30,6230695070
6.264528719404435,-75.67135395864007,2023-03-14 06:41:34,2786,9438,66,6408992430
6.36754353952014,-75.71281567643845,2023-04-28 12:38:17,2105,1679,87,3777939154
6.223760516763313,-75.69593970135698,2023-07-05 22:54:01,2412,8362,6,4990387937
6.21562455014828,-75.49162297167595,2024-03-01 07:43:20,3890,2232,94,2288615020
6.321287819810489,-75.71108419955127,2023-11-08 02:20:51,2082,9726,99,7124697498
6.2133921525628715,-75.68718011994332,2024-01-11 16:30:55,2930,1561,71,8641299940
6.289918414241864,-75.70156410251494,2023-12-08 20:25:44,1533,6659,17,9927944755
6.195816916116187,-75.52490548326492,2023-01-12 23:50:02,3952,1473,73,1297548083
6.231875424471929,-75.59088778955501,2023-05-12 10:20:08,2891,1737,46,4044258029
6.207047358372764,-75.69318137731052,2023-02-05 20:42:19,6405,1482,37,1277753207
6.268810464909103,-75.56177798388855,2023-01-16 19:42:58,2350,1482,14,6655125770
6.25139750225998,-75.4889079162646,2023-02-26 08:46:38,8481,6659,79,771599107
6.1798193997993796,-75.55436968719712,2023-09-19 13:11:36,9874,1561,7,709044939
6.235641145719438,-75.57144323830158,2023-11-05 20:04:41,9869,2232,26,7996167399
6.235430579150244,-75.56608711384015,2023-12-16 21:21:04,7530,9435,77,2025003333
6.278443392833082,-75.63685709756238,2023-11-22 19:27:38,3003,6659,65,5653159384
6.227104460625032,-75.67194999300523,2023-06-03 15:15:11,1529,1482,4,5186875217
6.351122594787644,-75.66885532485101,2023-08-28 19:33:17,1215,9435,33,7717438967
6.239493858250308,-75.61323625101008,2023-12-03 04:50:00,4386,6337,86,6757221088
6.199780216349857,-75.64867096900427,2024-06-04 14:15:33,9563,2470,79,8624695696
6.326599045211955,-75.66652686841327,2023-10-21 00:37:29,1958,2232,41,1308831870
6.301358049337551,-75.5876520591043,2023-06-14 20:03:32,4092,1679,41,655613909
6.2954093609437844,-75.63488919915942,2023-10-06 09:38:58,6976,9435,37,8841504540
